id,female,ses,schtyp,prog,read,write,math,science,socst,honors,awards,cid
171.0,0,2,1,2,60.0,54.0,60.0,55.0,66.0,0,1.0,14
104.0,0,3,1,2,54.0,63.0,57.0,55.0,46.0,1,4.0,14
81.0,0,1,1,2,63.0,43.0,59.0,65.0,44.0,0,0.0,14
97.0,0,3,1,2,60.0,54.0,58.0,58.0,61.0,0,1.0,14
20.0,0,3,1,2,60.0,52.0,57.0,61.0,61.0,0,1.0,14
163.0,1,1,1,2,52.0,57.0,64.0,58.0,56.0,0,2.0,15
195.0,0,2,2,1,57.0,57.0,60.0,58.0,56.0,0,2.0,15
84.0,0,2,1,1,63.0,57.0,54.0,58.0,51.0,0,2.0,15
27.0,0,2,1,2,53.0,61.0,61.0,57.0,56.0,1,3.0,15
118.0,1,2,1,1,55.0,62.0,58.0,58.0,61.0,1,3.0,15
71.0,1,2,1,1,57.0,62.0,56.0,58.0,66.0,1,3.0,15
63.0,1,1,1,1,52.0,65.0,60.0,56.0,51.0,1,5.0,15
185.0,0,2,2,2,63.0,57.0,55.0,58.0,41.0,0,2.0,15
127.0,0,3,1,2,63.0,59.0,57.0,55.0,56.0,0,2.0,15
177.0,0,2,2,2,55.0,59.0,62.0,58.0,51.0,0,2.0,15
188.0,1,3,2,2,63.0,62.0,56.0,55.0,61.0,1,3.0,16
60.0,0,2,1,2,57.0,65.0,51.0,63.0,61.0,1,5.0,16
66.0,1,2,1,3,68.0,62.0,56.0,50.0,51.0,1,3.0,16
173.0,1,1,1,1,50.0,62.0,61.0,63.0,51.0,1,3.0,16
186.0,1,2,2,2,57.0,62.0,63.0,55.0,41.0,1,3.0,16
96.0,1,3,1,2,65.0,54.0,61.0,58.0,56.0,0,1.0,16
101.0,1,3,1,2,60.0,62.0,67.0,50.0,56.0,1,3.0,16
3.0,0,1,1,2,63.0,65.0,48.0,63.0,56.0,1,5.0,16
170.0,0,3,1,2,47.0,62.0,61.0,69.0,66.0,1,3.0,16
92.0,1,3,1,1,52.0,67.0,57.0,63.0,61.0,1,7.0,16
62.0,0,3,1,1,65.0,65.0,48.0,63.0,66.0,1,5.0,16
135.0,1,1,1,2,63.0,60.0,65.0,54.0,66.0,1,2.0,17
26.0,1,3,1,2,60.0,59.0,62.0,61.0,51.0,0,2.0,17
139.0,1,2,1,2,68.0,59.0,61.0,55.0,71.0,0,2.0,17
121.0,1,2,1,3,68.0,59.0,53.0,63.0,61.0,0,2.0,17
144.0,0,3,1,1,60.0,65.0,58.0,61.0,66.0,1,5.0,17
146.0,0,3,1,2,55.0,62.0,64.0,63.0,66.0,1,3.0,17
137.0,1,3,1,2,63.0,65.0,65.0,53.0,61.0,1,5.0,17
123.0,0,3,1,1,68.0,59.0,56.0,63.0,66.0,0,2.0,18
169.0,0,1,1,1,55.0,59.0,63.0,69.0,46.0,0,2.0,18
34.0,1,3,2,2,73.0,61.0,57.0,55.0,66.0,1,3.0,18
33.0,1,1,1,2,57.0,65.0,72.0,54.0,56.0,1,5.0,18
32.0,1,3,1,3,50.0,67.0,66.0,66.0,56.0,1,7.0,18
114.0,0,3,1,2,68.0,65.0,62.0,55.0,61.0,1,5.0,18
125.0,1,1,1,2,68.0,65.0,58.0,59.0,56.0,1,5.0,18
59.0,1,2,1,2,65.0,67.0,63.0,55.0,71.0,1,7.0,18
23.0,1,1,1,2,65.0,65.0,64.0,58.0,71.0,1,5.0,18
161.0,1,1,1,2,57.0,62.0,72.0,61.0,61.0,1,3.0,18
103.0,0,3,1,2,76.0,52.0,64.0,64.0,61.0,0,1.0,19
194.0,1,3,2,2,63.0,63.0,69.0,61.0,61.0,1,4.0,19
136.0,0,2,1,2,65.0,59.0,70.0,63.0,51.0,0,2.0,19
154.0,0,3,1,2,65.0,65.0,66.0,61.0,66.0,1,5.0,19
157.0,0,2,1,1,68.0,59.0,58.0,74.0,66.0,0,2.0,19
93.0,1,3,1,2,73.0,67.0,62.0,58.0,66.0,1,7.0,19
39.0,1,3,1,2,66.0,67.0,67.0,61.0,66.0,1,7.0,19
88.0,1,3,1,2,68.0,60.0,64.0,69.0,66.0,1,2.0,19
192.0,0,3,2,2,65.0,67.0,63.0,66.0,71.0,1,7.0,19
80.0,0,3,1,2,65.0,62.0,68.0,66.0,66.0,1,3.0,19
200.0,0,2,2,2,68.0,54.0,75.0,66.0,66.0,0,1.0,19
180.0,1,3,2,2,71.0,65.0,69.0,58.0,71.0,1,5.0,20
82.0,1,3,1,2,68.0,62.0,65.0,69.0,61.0,1,3.0,20
174.0,0,2,2,2,68.0,59.0,71.0,66.0,56.0,0,2.0,20
95.0,0,3,1,2,73.0,60.0,71.0,61.0,71.0,1,2.0,20
61.0,1,3,1,2,76.0,63.0,60.0,67.0,66.0,1,4.0,20
100.0,1,3,1,2,63.0,65.0,71.0,69.0,71.0,1,5.0,20
143.0,0,2,1,3,63.0,63.0,75.0,72.0,66.0,1,4.0,20
68.0,0,2,1,2,73.0,67.0,71.0,63.0,66.0,1,7.0,20
57.0,1,2,1,2,71.0,65.0,72.0,66.0,56.0,1,5.0,20
132.0,0,2,1,2,73.0,62.0,73.0,69.0,66.0,1,3.0,20
